ID;GROUP_NAME;GROUP_RELATIONSHIP;GROUP_ROLE
1;ra@STRUTTURA;supervisore#acquistitrasparenza@STRUTTURA;member
2;afferenza@2216;gestori_strutture@2216;member
3;ra@STRUTTURA;abilitati#acquisti@STRUTTURA;coordinator
