userName,ruolo
alessandro.stroppa,initiator
raffaellamaria.balestrini,initiator
antonio.varriale,initiator
stefano.veronesi,initiator
vittorianna.tasco,initiator
massimo.cuscuna,initiator
rocco.caliandro,initiator
marco.moracci,initiator
davide.peddis,initiator
marina.bufacchi,initiator
sabina.porfido,initiator
francesco.petracchini,initiator
maurocarraro,initiator
davidriccardo.armando,initiator
claudio.ferrari,initiator
marcello.tagliavia,initiator
saramaria.valsecchi,initiator
katia.dambrosio,initiator
stefano.pelli,initiator
antonio.pepe,initiator
ferdinandoauricchio,initiator
claudia.conti,initiator
andrea.angelini,initiator
dario.dicara,initiator
claudia.pagano,initiator
sandra.donnici,initiator
giorgio.iabichino,initiator
stefano.taiti,initiator
renato.buzio,initiator
diego.copetti,initiator
claudia.forte,initiator
patrick.fiorenza,initiator
emanuela.proietti,initiator
sabina.spiga,initiator
